Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4054514,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4076163,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4099992,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4123340,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4147339,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4171403,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4194741,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4217461,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4241293,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4264819,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4288130,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4311700,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4335290,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4358816,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4382398,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4406234,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4429876,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4456304,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4476601,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4500141,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4523709,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4547218,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4570795,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4596585,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4619285,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4641736,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4665466,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4689483,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4712133,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4736711,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4759212,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4782754,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4806344,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4829869,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4856870,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4877023,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4900547,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4924604,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4947644,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4971211,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4995934,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5018557,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5041904,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5065436,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5088965,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5112545,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5136190,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5160087,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5184272,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5206745,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5230301,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5253835,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5277530,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5300976,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5324503,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5348075,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5371637,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5397651,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5418775,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5442683,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5465866,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5489380,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5512979,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5537835,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5560070,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5583592,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5607173,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5630761,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5654351,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5678128,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5702299,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5725134,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5748530,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5772302,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5797034,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5819200,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5842758,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
5866319,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
