Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4295420535,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295420540,000000B6,false,Rx,0,4,00,00,00,BA,00,00,00,00,
4295420545,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4295421801,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4295425391,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295425615,00000230,false,Rx,0,7,00,02,02,01,00,00,3E,00,
4295425834,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295426483,00000024,false,Rx,0,8,02,02,01,F5,62,1A,80,22,
4295430066,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
4295431483,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295431646,00000232,false,Rx,0,4,00,00,00,38,00,00,00,00,
4295433112,00000260,false,Rx,0,8,00,00,01,00,00,00,00,6B,
4295434039,000001C4,false,Rx,0,8,00,00,00,00,00,00,00,CD,
4295436265,00000361,false,Rx,0,8,80,00,00,00,20,00,00,88,
4295439345,00000020,false,Rx,0,7,20,00,07,01,00,00,4F,00,
4295439351,000000B4,false,Rx,0,8,00,00,00,00,00,00,00,BC,
4295439356,00000025,false,Rx,0,8,A2,37,98,00,FF,FF,FF,9B,
4295439361,00000235,false,Rx,0,6,00,00,00,00,00,3D,00,00,
4295439367,00000262,false,Rx,0,5,21,00,00,00,8A,00,00,00,
4295439372,00000024,false,Rx,0,8,02,01,01,F5,62,1A,80,21,
4295442313,00000245,false,Rx,0,5,00,00,00,00,4C,00,00,00,
4295443182,00000351,false,Rx,0,4,00,00,00,00,00,00,00,00,
4295443508,000000AA,false,Rx,0,8,1A,6F,1A,6F,1A,6F,1A,6F,
4295443724,000001AA,false,Rx,0,6,00,00,00,00,00,B1,00,00,
4295443943,00000224,false,Rx,0,8,00,00,00,00,00,00,00,08,
4295445352,00000247,false,Rx,0,5,06,00,FF,00,00,00,00,00,
4295446499,00000127,false,Rx,0,8,00,10,00,08,00,0E,FE,54,
